[2024-07-19 01:06:54,060] #DEBUG    win32.py:58 - tzlocal - Looking up time zone info from registry
[2024-07-19 01:06:54,096] #INFO     base.py:454 - apscheduler.scheduler - Adding job tentatively -- it will be properly scheduled when the scheduler starts
[2024-07-19 01:06:54,107] #INFO     base.py:895 - apscheduler.scheduler - Added job "check_status" to job store "default"
[2024-07-19 01:06:54,108] #INFO     base.py:181 - apscheduler.scheduler - Scheduler started
[2024-07-19 01:06:54,110] #DEBUG    base.py:954 - apscheduler.scheduler - Looking for jobs to run
[2024-07-19 01:06:54,110] #DEBUG    base.py:1034 - apscheduler.scheduler - Next wakeup is due at 2024-07-19 01:10:00+03:00 (in 185.889575 seconds)
[2024-07-19 01:06:54,386] #INFO     dispatcher.py:527 - aiogram.dispatcher - Start polling
[2024-07-19 01:06:54,472] #INFO     dispatcher.py:341 - aiogram.dispatcher - Run polling for bot @Bot_for_schoolbot id=7417513030 - 'SchoolBot'
[2024-07-19 01:07:21,250] #INFO     base.py:1846 - sqlalchemy.engine.Engine - select pg_catalog.version()
[2024-07-19 01:07:21,250] #INFO     base.py:1846 - sqlalchemy.engine.Engine - [raw sql] ()
[2024-07-19 01:07:21,254] #INFO     base.py:1846 - sqlalchemy.engine.Engine - select current_schema()
[2024-07-19 01:07:21,255] #INFO     base.py:1846 - sqlalchemy.engine.Engine - [raw sql] ()
[2024-07-19 01:07:21,259] #INFO     base.py:1846 - sqlalchemy.engine.Engine - show standard_conforming_strings
[2024-07-19 01:07:21,259] #INFO     base.py:1846 - sqlalchemy.engine.Engine - [raw sql] ()
[2024-07-19 01:07:21,265] #INFO     base.py:2699 - sqlalchemy.engine.Engine - BEGIN (implicit)
[2024-07-19 01:07:21,274] #INFO     base.py:1846 - sqlalchemy.engine.Engine - SELECT pg_catalog.pg_class.relname 
FROM pg_catalog.pg_class JOIN pg_catalog.pg_namespace ON pg_catalog.pg_namespace.oid = pg_catalog.pg_class.relnamespace 
